i,x,y,z,posErr,ok
53,-10.4102,35.6052,-8.5750,5.877505,0
54,-10.9443,35.4419,-8.5750,5.925992,0
55,-11.4723,35.2601,-8.5750,5.975918,0
56,-11.9937,35.0599,-8.5750,6.027208,0
57,-12.5078,34.8417,-8.5750,6.079788,0
58,-13.0139,34.6057,-8.5750,6.133582,0
59,-13.5115,34.3522,-8.5750,6.188514,0
60,-14.0000,34.0814,-8.5750,6.244506,0
61,-14.4787,33.7938,-8.5750,6.301481,0
62,-14.9471,33.4896,-8.5750,6.359360,0
63,-15.4046,33.1693,-8.5750,6.418063,0
64,-15.8506,32.8332,-8.5750,6.477511,0
65,-16.2846,32.4817,-8.5750,6.537624,0
66,-16.7061,32.1153,-8.5750,6.598324,0
67,-17.1145,31.7344,-8.5750,6.659529,0
68,-17.5094,31.3395,-8.5750,6.721162,0
69,-17.8903,30.9311,-8.5750,6.783142,0
70,-18.2567,30.5096,-8.5750,6.845391,0
71,-18.6082,30.0756,-8.5750,6.907831,0
72,-18.9443,29.6296,-8.5750,6.970384,0
73,-19.2646,29.1721,-8.5750,7.032973,0
74,-19.5688,28.7037,-8.5750,7.095522,0
75,-19.8564,28.2250,-8.5750,7.157955,0
76,-20.1272,27.7365,-8.5750,7.220198,0
77,-20.3807,27.2389,-8.5750,7.282178,0
78,-20.6167,26.7328,-8.5750,7.343822,0
79,-20.8349,26.2187,-8.5750,7.405059,0
80,-21.0351,25.6973,-8.5750,7.465817,0
81,-21.2169,25.1693,-8.5750,7.526030,0
82,-21.3802,24.6352,-8.5750,7.585628,0
83,-21.5247,24.0958,-8.5750,7.644545,0
84,-21.6504,23.5516,-8.5750,7.702717,0
85,-21.7569,23.0034,-8.5750,7.760079,0
86,-21.8443,22.4518,-8.5750,7.816569,0
87,-21.9124,21.8975,-8.5750,7.872128,0
88,-21.9610,21.3411,-8.5750,7.926694,0
89,-21.9903,20.7834,-8.5750,7.980212,0
90,-22.0000,20.2250,-8.5750,8.032624,0
91,-21.9903,19.6666,-8.5750,8.083876,0
92,-21.9610,19.1089,-8.5750,8.133916,0
93,-21.9124,18.5525,-8.5750,8.182691,0
94,-21.8443,17.9982,-8.5750,8.230153,0
95,-21.7569,17.4466,-8.5750,8.276252,0
96,-21.6504,16.8984,-8.5750,8.320944,0
97,-21.5247,16.3542,-8.5750,8.364184,0
98,-21.3802,15.8148,-8.5750,8.405928,0
99,-21.2169,15.2807,-8.5750,8.446135,0
100,-21.0351,14.7527,-8.5750,8.484767,0
101,-20.8349,14.2313,-8.5750,8.521785,0
102,-20.6167,13.7172,-8.5750,8.557154,0
103,-20.3807,13.2111,-8.5750,8.590840,0
104,-20.1272,12.7135,-8.5750,8.622809,0
105,-19.8564,12.2250,-8.5750,8.653033,0
106,-19.5688,11.7463,-8.5750,8.681482,0
107,-19.2646,11.2779,-8.5750,8.708128,0
108,-18.9443,10.8204,-8.5750,8.732948,0
109,-18.6082,10.3744,-8.5750,8.755917,0
110,-18.2567,9.9404,-8.5750,8.777014,0
111,-17.8903,9.5189,-8.5750,8.796220,0
112,-17.5094,9.1105,-8.5750,8.813516,0
113,-17.1145,8.7156,-8.5750,8.828887,0
114,-16.7061,8.3347,-8.5750,8.842317,0
115,-16.2846,7.9683,-8.5750,8.853796,0
116,-15.8506,7.6168,-8.5750,8.863312,0
117,-15.4046,7.2807,-8.5750,8.870856,0
118,-14.9471,6.9604,-8.5750,8.876421,0
119,-14.4787,6.6562,-8.5750,8.880003,0
120,-14.0000,6.3686,-8.5750,8.881597,0
121,-13.5115,6.0978,-8.5750,8.881204,0
122,-13.0139,5.8443,-8.5750,8.878822,0
123,-12.5078,5.6083,-8.5750,8.874454,0
124,-11.9937,5.3901,-8.5750,8.868104,0
125,-11.4723,5.1899,-8.5750,8.859778,0
126,-10.9443,5.0081,-8.5750,8.849484,0
127,-10.4102,4.8448,-8.5750,8.837231,0
128,-9.8708,4.7003,-8.5750,8.823030,0
129,-9.3266,4.5746,-8.5750,8.806895,0
130,-8.7784,4.4681,-8.5750,8.788841,0
131,-8.2268,4.3807,-8.5750,8.768884,0
132,-7.6725,4.3126,-8.5750,8.747043,0
133,-7.1161,4.2640,-8.5750,8.723338,0
134,-6.5584,4.2347,-8.5750,8.697792,0
135,-6.0000,4.2250,-8.5750,8.670428,0
136,-5.4416,4.2347,-8.5750,8.641274,0
137,-4.8839,4.2640,-8.5750,8.610355,0
138,-4.3275,4.3126,-8.5750,8.577702,0
139,-3.7732,4.3807,-8.5750,8.543346,0
140,-3.2216,4.4681,-8.5750,8.507319,0
141,-2.6734,4.5746,-8.5750,8.469658,0
142,-2.1292,4.7003,-8.5750,8.430397,0
143,-1.5898,4.8448,-8.5750,8.389576,0
144,-1.0557,5.0081,-8.5750,8.347235,0
145,-0.5277,5.1899,-8.5750,8.303415,0
146,-0.0063,5.3901,-8.5750,8.258160,0
147,0.5078,5.6083,-8.5750,8.211515,0
148,1.0139,5.8443,-8.5750,8.163528,0
149,1.5115,6.0978,-8.5750,8.114246,0
150,2.0000,6.3686,-8.5750,8.063720,0
151,2.4787,6.6562,-8.5750,8.012002,0
152,2.9471,6.9604,-8.5750,7.959145,0
153,3.4046,7.2807,-8.5750,7.905205,0
154,3.8506,7.6168,-8.5750,7.850239,0
155,4.2846,7.9683,-8.5750,7.794304,0
156,4.7061,8.3347,-8.5750,7.737461,0
157,5.1145,8.7156,-8.5750,7.679771,0
158,5.5094,9.1105,-8.5750,7.621296,0
159,5.8903,9.5189,-8.5750,7.562102,0
160,6.2567,9.9404,-8.5750,7.502252,0
161,6.6082,10.3744,-8.5750,7.441815,0
162,6.9443,10.8204,-8.5750,7.380859,0
163,7.2646,11.2779,-8.5750,7.319453,0
164,7.5688,11.7463,-8.5750,7.257667,0
165,7.8564,12.2250,-8.5750,7.195574,0
166,8.1272,12.7135,-8.5750,7.133247,0
167,8.3807,13.2111,-8.5750,7.070758,0
168,8.6167,13.7172,-8.5750,7.008185,0
169,8.8349,14.2313,-8.5750,6.945601,0
170,9.0351,14.7527,-8.5750,6.883083,0
171,9.2169,15.2807,-8.5750,6.820710,0
172,9.3802,15.8148,-8.5750,6.758558,0
173,9.5247,16.3542,-8.5750,6.696706,0
174,9.6504,16.8984,-8.5750,6.635233,0
175,9.7569,17.4466,-8.5750,6.574218,0
176,9.8443,17.9982,-8.5750,6.513742,0
177,9.9124,18.5525,-8.5750,6.453882,0
178,9.9610,19.1089,-8.5750,6.394720,0
179,9.9903,19.6666,-8.5750,6.336334,0
