i,x,y,z,posErr,ok
146,-5.8502,19.8541,-8.5750,0.000000,1
147,-5.8373,19.8596,-8.5750,0.000000,1
148,-5.8247,19.8655,-8.5750,0.000000,1
149,-5.8122,19.8718,-8.5750,0.000000,1
150,-5.8000,19.8786,-8.5750,0.000000,1
151,-5.7880,19.8858,-8.5750,0.000000,1
152,-5.7763,19.8934,-8.5750,0.000000,1
153,-5.7649,19.9014,-8.5750,0.000000,1
154,-5.7537,19.9098,-8.5750,0.000000,1
155,-5.7429,19.9186,-8.5750,0.000000,1
156,-5.7323,19.9277,-8.5750,0.000000,1
157,-5.7221,19.9373,-8.5750,0.000000,1
158,-5.7123,19.9471,-8.5750,0.000000,1
159,-5.7027,19.9573,-8.5750,0.000000,1
160,-5.6936,19.9679,-8.5750,0.000000,1
161,-5.6848,19.9787,-8.5750,0.000000,1
162,-5.6764,19.9899,-8.5750,0.000000,1
163,-5.6684,20.0013,-8.5750,0.000000,1
164,-5.6608,20.0130,-8.5750,0.000000,1
165,-5.6536,20.0250,-8.5750,0.000000,1
166,-5.6468,20.0372,-8.5750,0.000000,1
167,-5.6405,20.0497,-8.5750,0.000000,1
168,-5.6346,20.0623,-8.5750,0.000000,1
169,-5.6291,20.0752,-8.5750,0.000000,1
170,-5.6241,20.0882,-8.5750,0.000000,1
171,-5.6196,20.1014,-8.5750,0.000000,1
172,-5.6155,20.1147,-8.5750,0.000000,1
173,-5.6119,20.1282,-8.5750,0.000000,1
174,-5.6087,20.1418,-8.5750,0.000000,1
175,-5.6061,20.1555,-8.5750,0.000000,1
176,-5.6039,20.1693,-8.5750,0.000000,1
177,-5.6022,20.1832,-8.5750,0.000000,1
178,-5.6010,20.1971,-8.5750,0.000000,1
179,-5.6002,20.2110,-8.5750,0.000000,1
