ix,iy,x,y,z,posErr,ok
13,13,-2.6774,18.5476,-2.5750,0.000000,1
14,13,-1.5699,18.5476,-2.5750,0.000000,1
15,13,-0.4624,18.5476,-2.5750,0.000000,1
16,13,0.6451,18.5476,-2.5750,0.000000,1
17,13,1.7527,18.5476,-2.5750,0.000000,1
18,13,2.8602,18.5476,-2.5750,0.000000,1
19,13,3.9677,18.5476,-2.5750,0.000000,1
20,13,5.0752,18.5476,-2.5750,0.020135,0
0,14,-17.0752,19.6551,-2.5750,1.477269,0
1,14,-15.9677,19.6551,-2.5750,0.418242,0
2,14,-14.8602,19.6551,-2.5750,0.000019,1
3,14,-13.7527,19.6551,-2.5750,0.000000,1
4,14,-12.6451,19.6551,-2.5750,0.000000,1
5,14,-11.5376,19.6551,-2.5750,0.000000,1
6,14,-10.4301,19.6551,-2.5750,0.000000,1
7,14,-9.3226,19.6551,-2.5750,0.000000,1
8,14,-8.2150,19.6551,-2.5750,0.000000,1
9,14,-7.1075,19.6551,-2.5750,0.000004,1
10,14,-6.0000,19.6551,-2.5750,0.000099,1
11,14,-4.8925,19.6551,-2.5750,0.000246,1
12,14,-3.7850,19.6551,-2.5750,0.000063,1
13,14,-2.6774,19.6551,-2.5750,0.000001,1
14,14,-1.5699,19.6551,-2.5750,0.000000,1
15,14,-0.4624,19.6551,-2.5750,0.000000,1
16,14,0.6451,19.6551,-2.5750,0.000000,1
17,14,1.7527,19.6551,-2.5750,0.000000,1
18,14,2.8602,19.6551,-2.5750,0.000000,1
19,14,3.9677,19.6551,-2.5750,0.000000,1
20,14,5.0752,19.6551,-2.5750,0.000455,1
0,15,-17.0752,20.7626,-2.5750,1.318417,0
1,15,-15.9677,20.7626,-2.5750,0.250525,0
2,15,-14.8602,20.7626,-2.5750,0.000001,1
3,15,-13.7527,20.7626,-2.5750,0.000000,1
4,15,-12.6451,20.7626,-2.5750,0.000000,1
5,15,-11.5376,20.7626,-2.5750,0.000000,1
6,15,-10.4301,20.7626,-2.5750,0.000000,1
7,15,-9.3226,20.7626,-2.5750,0.000000,1
8,15,-8.2150,20.7626,-2.5750,0.000000,1
9,15,-7.1075,20.7626,-2.5750,0.000019,1
10,15,-6.0000,20.7626,-2.5750,0.000811,1
11,15,-4.8925,20.7626,-2.5750,0.002055,1
12,15,-3.7850,20.7626,-2.5750,0.000511,1
13,15,-2.6774,20.7626,-2.5750,0.000005,1
14,15,-1.5699,20.7626,-2.5750,0.000000,1
15,15,-0.4624,20.7626,-2.5750,0.000000,1
16,15,0.6451,20.7626,-2.5750,0.000000,1
17,15,1.7527,20.7626,-2.5750,0.000000,1
18,15,2.8602,20.7626,-2.5750,0.000000,1
19,15,3.9677,20.7626,-2.5750,0.000000,1
20,15,5.0752,20.7626,-2.5750,0.000023,1
0,16,-17.0752,21.8701,-2.5750,1.257250,0
1,16,-15.9677,21.8701,-2.5750,0.190383,0
2,16,-14.8602,21.8701,-2.5750,0.000000,1
3,16,-13.7527,21.8701,-2.5750,0.000000,1
4,16,-12.6451,21.8701,-2.5750,0.000000,1
5,16,-11.5376,21.8701,-2.5750,0.000000,1
6,16,-10.4301,21.8701,-2.5750,0.000000,1
7,16,-9.3226,21.8701,-2.5750,0.000000,1
8,16,-8.2150,21.8701,-2.5750,0.000003,1
9,16,-7.1075,21.8701,-2.5750,0.000266,1
10,16,-6.0000,21.8701,-2.5750,0.002279,1
11,16,-4.8925,21.8701,-2.5750,0.003838,1
12,16,-3.7850,21.8701,-2.5750,0.001741,1
13,16,-2.6774,21.8701,-2.5750,0.000137,1
14,16,-1.5699,21.8701,-2.5750,0.000001,1
15,16,-0.4624,21.8701,-2.5750,0.000000,1
16,16,0.6451,21.8701,-2.5750,0.000000,1
17,16,1.7527,21.8701,-2.5750,0.000000,1
18,16,2.8602,21.8701,-2.5750,0.000000,1
19,16,3.9677,21.8701,-2.5750,0.000000,1
20,16,5.0752,21.8701,-2.5750,0.000006,1
0,17,-17.0752,22.9777,-2.5750,1.295215,0
1,17,-15.9677,22.9777,-2.5750,0.227038,0
2,17,-14.8602,22.9777,-2.5750,0.000000,1
3,17,-13.7527,22.9777,-2.5750,0.000000,1
4,17,-12.6451,22.9777,-2.5750,0.000000,1
5,17,-11.5376,22.9777,-2.5750,0.000000,1
6,17,-10.4301,22.9777,-2.5750,0.000000,1
7,17,-9.3226,22.9777,-2.5750,0.000000,1
8,17,-8.2150,22.9777,-2.5750,0.000003,1
9,17,-7.1075,22.9777,-2.5750,0.000329,1
10,17,-6.0000,22.9777,-2.5750,0.004218,1
11,17,-4.8925,22.9777,-2.5750,0.008479,1
12,17,-3.7850,22.9777,-2.5750,0.002997,1
13,17,-2.6774,22.9777,-2.5750,0.000157,1
14,17,-1.5699,22.9777,-2.5750,0.000001,1
15,17,-0.4624,22.9777,-2.5750,0.000000,1
16,17,0.6451,22.9777,-2.5750,0.000000,1
17,17,1.7527,22.9777,-2.5750,0.000000,1
18,17,2.8602,22.9777,-2.5750,0.000000,1
19,17,3.9677,22.9777,-2.5750,0.000000,1
20,17,5.0752,22.9777,-2.5750,0.000012,1
0,18,-17.0752,24.0852,-2.5750,1.431409,0
1,18,-15.9677,24.0852,-2.5750,0.368800,0
2,18,-14.8602,24.0852,-2.5750,0.000005,1
3,18,-13.7527,24.0852,-2.5750,0.000000,1
4,18,-12.6451,24.0852,-2.5750,0.000000,1
5,18,-11.5376,24.0852,-2.5750,0.000000,1
6,18,-10.4301,24.0852,-2.5750,0.000000,1
7,18,-9.3226,24.0852,-2.5750,0.000000,1
8,18,-8.2150,24.0852,-2.5750,0.000000,1
9,18,-7.1075,24.0852,-2.5750,0.000036,1
10,18,-6.0000,24.0852,-2.5750,0.000632,1
11,18,-4.8925,24.0852,-2.5750,0.001398,1
12,18,-3.7850,24.0852,-2.5750,0.000430,1
13,18,-2.6774,24.0852,-2.5750,0.000016,1
14,18,-1.5699,24.0852,-2.5750,0.000000,1
15,18,-0.4624,24.0852,-2.5750,0.000000,1
16,18,0.6451,24.0852,-2.5750,0.000000,1
17,18,1.7527,24.0852,-2.5750,0.000000,1
18,18,2.8602,24.0852,-2.5750,0.000000,1
19,18,3.9677,24.0852,-2.5750,0.000000,1
20,18,5.0752,24.0852,-2.5750,0.000162,1
0,19,-17.0752,25.1927,-2.5750,1.662686,0
1,19,-15.9677,25.1927,-2.5750,0.619514,0
2,19,-14.8602,25.1927,-2.5750,0.000460,1
3,19,-13.7527,25.1927,-2.5750,0.000000,1
4,19,-12.6451,25.1927,-2.5750,0.000000,1
5,19,-11.5376,25.1927,-2.5750,0.000000,1
6,19,-10.4301,25.1927,-2.5750,0.000000,1
7,19,-9.3226,25.1927,-2.5750,0.000000,1
8,19,-8.2150,25.1927,-2.5750,0.000000,1
9,19,-7.1075,25.1927,-2.5750,0.000000,1
10,19,-6.0000,25.1927,-2.5750,0.000007,1
11,19,-4.8925,25.1927,-2.5750,0.000018,1
12,19,-3.7850,25.1927,-2.5750,0.000005,1
13,19,-2.6774,25.1927,-2.5750,0.000000,1
14,19,-1.5699,25.1927,-2.5750,0.000000,1
15,19,-0.4624,25.1927,-2.5750,0.000000,1
16,19,0.6451,25.1927,-2.5750,0.000000,1
17,19,1.7527,25.1927,-2.5750,0.000000,1
18,19,2.8602,25.1927,-2.5750,0.000000,1
19,19,3.9677,25.1927,-2.5750,0.000000,1
20,19,5.0752,25.1927,-2.5750,0.007461,1
0,20,-17.0752,26.3002,-2.5750,1.984001,0
1,20,-15.9677,26.3002,-2.5750,0.968577,0
2,20,-14.8602,26.3002,-2.5750,0.050284,0
3,20,-13.7527,26.3002,-2.5750,0.000000,1
4,20,-12.6451,26.3002,-2.5750,0.000000,1
5,20,-11.5376,26.3002,-2.5750,0.000000,1
6,20,-10.4301,26.3002,-2.5750,0.000000,1
7,20,-9.3226,26.3002,-2.5750,0.000000,1
8,20,-8.2150,26.3002,-2.5750,0.000000,1
9,20,-7.1075,26.3002,-2.5750,0.000000,1
10,20,-6.0000,26.3002,-2.5750,0.000000,1
11,20,-4.8925,26.3002,-2.5750,0.000000,1
12,20,-3.7850,26.3002,-2.5750,0.000000,1
13,20,-2.6774,26.3002,-2.5750,0.000000,1
14,20,-1.5699,26.3002,-2.5750,0.000000,1
15,20,-0.4624,26.3002,-2.5750,0.000000,1
16,20,0.6451,26.3002,-2.5750,0.000000,1
17,20,1.7527,26.3002,-2.5750,0.000000,1
18,20,2.8602,26.3002,-2.5750,0.000000,1
19,20,3.9677,26.3002,-2.5750,0.000000,1
20,20,5.0752,26.3002,-2.5750,0.177755,0
