ix,iy,iz,x,y,z,targetDist,ok
0,8,0,-18.048002,28.453801,-12.623002,8.166595,0
1,8,0,-15.638402,28.453801,-12.623002,6.629294,0
2,8,0,-13.228801,28.453801,-12.623002,5.304172,0
3,8,0,-10.819201,28.453801,-12.623002,4.246223,0
4,8,0,-8.409600,28.453801,-12.623002,3.512449,0
5,8,0,-6.000000,28.453801,-12.623002,3.150006,0
6,8,0,-3.590400,28.453801,-12.623002,3.184004,0
7,8,0,-1.180799,28.453801,-12.623002,3.612059,0
8,8,0,1.228801,28.453801,-12.623002,4.404712,0
9,8,0,3.638402,28.453801,-12.623002,5.512166,0
10,8,0,6.048002,28.453801,-12.623002,6.877054,0
0,9,0,-18.048002,30.863402,-12.623002,9.099223,0
1,9,0,-15.638402,30.863402,-12.623002,7.637629,0
2,9,0,-13.228801,30.863402,-12.623002,6.387449,0
3,9,0,-10.819201,30.863402,-12.623002,5.396555,0
4,9,0,-8.409600,30.863402,-12.623002,4.713000,0
5,9,0,-6.000000,30.863402,-12.623002,4.376253,0
6,9,0,-3.590400,30.863402,-12.623002,4.407823,0
7,9,0,-1.180799,30.863402,-12.623002,4.805635,0
8,9,0,1.228801,30.863402,-12.623002,5.544581,0
9,9,0,3.638402,30.863402,-12.623002,6.583030,0
10,9,0,6.048002,30.863402,-12.623002,7.872419,0
0,10,0,-18.048002,33.273002,-12.623002,10.263911,0
1,10,0,-15.638402,33.273002,-12.623002,8.886911,0
2,10,0,-13.228801,33.273002,-12.623002,7.718792,0
3,10,0,-10.819201,33.273002,-12.623002,6.800258,0
4,10,0,-8.409600,33.273002,-12.623002,6.170746,0
5,10,0,-6.000000,33.273002,-12.623002,5.861902,0
6,10,0,-3.590400,33.273002,-12.623002,5.890821,0
7,10,0,-1.180799,33.273002,-12.623002,6.255854,0
8,10,0,1.228801,33.273002,-12.623002,6.937034,0
9,10,0,3.638402,33.273002,-12.623002,7.900884,0
10,10,0,6.048002,33.273002,-12.623002,9.107337,0
0,0,1,-18.048002,9.176998,-10.213402,9.847022,0
1,0,1,-15.638402,9.176998,-10.213402,8.440907,0
2,0,1,-13.228801,9.176998,-10.213402,7.244750,0
3,0,1,-10.819201,9.176998,-10.213402,6.301646,0
4,0,1,-8.409600,9.176998,-10.213402,5.653854,0
5,0,1,-6.000000,9.176998,-10.213402,5.335585,0
6,0,1,-3.590400,9.176998,-10.213402,5.365399,0
7,0,1,-1.180799,9.176998,-10.213402,5.741506,0
8,0,1,1.228801,9.176998,-10.213402,6.442234,0
9,0,1,3.638402,9.176998,-10.213402,7.431438,0
10,0,1,6.048002,9.176998,-10.213402,8.666262,0
0,1,1,-18.048002,11.586598,-10.213402,8.468554,0
1,1,1,-15.638402,11.586598,-10.213402,6.956612,0
2,1,1,-13.228801,11.586598,-10.213402,5.656743,0
3,1,1,-10.819201,11.586598,-10.213402,4.621457,0
4,1,1,-8.409600,11.586598,-10.213402,3.904594,0
5,1,1,-6.000000,11.586598,-10.213402,3.550717,0
6,1,1,-3.590400,11.586598,-10.213402,3.583910,0
7,1,1,-1.180799,11.586598,-10.213402,4.001865,0
8,1,1,1.228801,11.586598,-10.213402,4.776410,0
9,1,1,3.638402,11.586598,-10.213402,5.860546,0
10,1,1,6.048002,11.586598,-10.213402,7.200016,0
0,2,1,-18.048002,13.996199,-10.213402,7.303551,0
1,2,1,-15.638402,13.996199,-10.213402,5.688888,0
2,2,1,-13.228801,13.996199,-10.213402,4.285957,0
3,2,1,-10.819201,13.996199,-10.213402,3.158478,0
4,2,1,-8.409600,13.996199,-10.213402,2.375108,0
5,2,1,-6.000000,13.996199,-10.213402,1.990081,0
6,2,1,-3.590400,13.996199,-10.213402,2.026067,0
7,2,1,-1.180799,13.996199,-10.213402,2.481301,0
8,2,1,1.228801,13.996199,-10.213402,3.327704,0
9,2,1,3.638402,13.996199,-10.213402,4.506888,0
10,2,1,6.048002,13.996199,-10.213402,5.950005,0
0,3,1,-18.048002,16.405799,-10.213402,6.394443,0
1,3,1,-15.638402,16.405799,-10.213402,4.689729,0
2,3,1,-13.228801,16.405799,-10.213402,3.195807,0
3,3,1,-10.819201,16.405799,-10.213402,1.993627,0
4,3,1,-8.409600,16.405799,-10.213402,1.186131,0
5,3,1,-6.000000,16.405799,-10.213402,0.837049,0
6,3,1,-3.590400,16.405799,-10.213402,0.874487,0
7,3,1,-1.180799,16.405799,-10.213402,1.292075,0
8,3,1,1.228801,16.405799,-10.213402,2.173128,0
9,3,1,3.638402,16.405799,-10.213402,3.431726,0
10,3,1,6.048002,16.405799,-10.213402,4.966492,0
0,4,1,-18.048002,18.815400,-10.213402,5.782100,0
1,4,1,-15.638402,18.815400,-10.213402,4.011428,0
2,4,1,-13.228801,18.815400,-10.213402,2.452938,0
3,4,1,-10.819201,18.815400,-10.213402,1.224142,0
4,4,1,-8.409600,18.815400,-10.213402,0.422868,0
5,4,1,-6.000000,18.815400,-10.213402,1.099160,0
6,4,1,-3.590400,18.815400,-10.213402,1.283404,0
7,4,1,-1.180799,18.815400,-10.213402,0.788499,0
8,4,1,1.228801,18.815400,-10.213402,1.401881,0
9,4,1,3.638402,18.815400,-10.213402,2.698901,0
10,4,1,6.048002,18.815400,-10.213402,4.299666,0
0,5,1,-18.048002,21.225000,-10.213402,5.498720,0
1,5,1,-15.638402,21.225000,-10.213402,3.696090,0
2,5,1,-13.228801,21.225000,-10.213402,2.108529,0
3,5,1,-10.819201,21.225000,-10.213402,0.894326,0
4,5,1,-8.409600,21.225000,-10.213402,0.746486,0
5,5,1,-6.000000,21.225000,-10.213402,2.496665,0
6,5,1,-3.590400,21.225000,-10.213402,2.604080,0
7,5,1,-1.180799,21.225000,-10.213402,1.311645,0
8,5,1,1.228801,21.225000,-10.213402,1.068651,0
9,5,1,3.638402,21.225000,-10.213402,2.358434,0
10,5,1,6.048002,21.225000,-10.213402,3.989864,0
0,6,1,-18.048002,23.634600,-10.213402,5.560637,0
1,6,1,-15.638402,23.634600,-10.213402,3.765063,0
2,6,1,-13.228801,23.634600,-10.213402,2.183711,0
3,6,1,-10.819201,23.634600,-10.213402,0.964730,0
4,6,1,-8.409600,23.634600,-10.213402,0.322757,0
5,6,1,-6.000000,23.634600,-10.213402,2.226940,0
6,6,1,-3.590400,23.634600,-10.213402,2.340332,0
7,6,1,-1.180799,23.634600,-10.213402,1.153546,0
8,6,1,1.228801,23.634600,-10.213402,1.138100,0
9,6,1,3.638402,23.634600,-10.213402,2.432835,0
10,6,1,6.048002,23.634600,-10.213402,4.057618,0
0,7,1,-18.048002,26.044201,-10.213402,5.964200,0
1,7,1,-15.638402,26.044201,-10.213402,4.213593,0
2,7,1,-13.228801,26.044201,-10.213402,2.674302,0
3,7,1,-10.819201,26.044201,-10.213402,1.447775,0
4,7,1,-8.409600,26.044201,-10.213402,0.689042,0
5,7,1,-6.000000,26.044201,-10.213402,0.480955,0
6,7,1,-3.590400,26.044201,-10.213402,0.799283,0
7,7,1,-1.180799,26.044201,-10.213402,0.823728,0
8,7,1,1.228801,26.044201,-10.213402,1.627848,0
9,7,1,3.638402,26.044201,-10.213402,2.917394,0
10,7,1,6.048002,26.044201,-10.213402,4.498344,0
0,8,1,-18.048002,28.453801,-10.213402,6.686722,0
1,8,1,-15.638402,28.453801,-10.213402,5.011970,0
2,8,1,-13.228801,28.453801,-10.213402,3.548218,0
3,8,1,-10.819201,28.453801,-10.213402,2.368938,0
4,8,1,-8.409600,28.453801,-10.213402,1.559203,0
5,8,1,-6.000000,28.453801,-10.213402,1.177285,0
6,8,1,-3.590400,28.453801,-10.213402,1.212330,0
7,8,1,-1.180799,28.453801,-10.213402,1.667477,0
8,8,1,1.228801,28.453801,-10.213402,2.545675,0
9,8,1,3.638402,28.453801,-10.213402,3.779214,0
10,8,1,6.048002,28.453801,-10.213402,5.283519,0
0,9,1,-18.048002,30.863402,-10.213402,7.692023,0
1,9,1,-15.638402,30.863402,-10.213402,6.113110,0
2,9,1,-13.228801,30.863402,-10.213402,4.746259,0
3,9,1,-10.819201,30.863402,-10.213402,3.650871,0
4,9,1,-8.409600,30.863402,-10.213402,2.889683,0
5,9,1,-6.000000,30.863402,-10.213402,2.513926,0
6,9,1,-3.590400,30.863402,-10.213402,2.549145,0
7,9,1,-1.180799,30.863402,-10.213402,2.993021,0
8,9,1,1.228801,30.863402,-10.213402,3.815176,0
9,9,1,3.638402,30.863402,-10.213402,4.961190,0
10,9,1,6.048002,30.863402,-10.213402,6.368042,0
0,10,1,-18.048002,33.273002,-10.213402,8.937949,0
1,10,1,-15.638402,33.273002,-10.213402,7.463804,0
2,10,1,-13.228801,33.273002,-10.213402,6.201295,0
3,10,1,-10.819201,33.273002,-10.213402,5.199421,0
4,10,1,-8.409600,33.273002,-10.213402,4.507623,0
5,10,1,-6.000000,33.273002,-10.213402,4.166622,0
6,10,1,-3.590400,33.273002,-10.213402,4.198596,0
7,10,1,-1.180799,33.273002,-10.213402,4.601408,0
8,10,1,1.228801,33.273002,-10.213402,5.349160,0
9,10,1,3.638402,33.273002,-10.213402,6.398913,0
10,10,1,6.048002,33.273002,-10.213402,7.700737,0
0,0,2,-18.048002,9.176998,-7.803801,8.786426,0
1,0,2,-15.638402,9.176998,-7.803801,7.300289,0
2,0,2,-13.228801,9.176998,-7.803801,6.025965,0
3,0,2,-10.819201,9.176998,-7.803801,5.013544,0
4,0,2,-8.409600,9.176998,-7.803801,4.313829,0
5,0,2,-6.000000,9.176998,-7.803801,3.968746,0
6,0,2,-3.590400,9.176998,-7.803801,4.001108,0
7,0,2,-1.180799,9.176998,-7.803801,4.408716,0
8,0,2,1.228801,9.176998,-7.803801,5.164929,0
9,0,2,3.638402,9.176998,-7.803801,6.225537,0
10,0,2,6.048002,9.176998,-7.803801,7.539273,0
0,1,2,-18.048002,11.586598,-7.803801,7.329626,0
1,1,2,-15.638402,11.586598,-7.803801,5.717412,0
2,1,2,-13.228801,11.586598,-7.803801,4.316957,0
3,1,2,-10.819201,11.586598,-7.803801,3.191664,0
4,1,2,-8.409600,11.586598,-7.803801,2.409734,0
5,1,2,-6.000000,11.586598,-7.803801,2.025221,0
6,1,2,-3.590400,11.586598,-7.803801,2.061170,0
7,1,2,-1.180799,11.586598,-7.803801,2.515751,0
8,1,2,1.228801,11.586598,-7.803801,3.360557,0
9,1,2,3.638402,11.586598,-7.803801,4.537477,0
10,1,2,6.048002,11.586598,-7.803801,5.978104,0
0,2,2,-18.048002,13.996199,-7.803801,6.088853,0
1,2,2,-15.638402,13.996199,-7.803801,4.351762,0
2,2,2,-13.228801,13.996199,-7.803801,2.825669,0
3,2,2,-10.819201,13.996199,-7.803801,1.604183,0
4,2,2,-8.409600,13.996199,-7.803801,0.823517,0
5,2,2,-6.000000,13.996199,-7.803801,0.548004,0
6,2,2,-3.590400,13.996199,-7.803801,0.743704,0
7,2,2,-1.180799,13.996199,-7.803801,0.937813,0
8,2,2,1.228801,13.996199,-7.803801,1.784836,0
9,2,2,3.638402,13.996199,-7.803801,3.066717,0
10,2,2,6.048002,13.996199,-7.803801,4.634162,0
0,3,2,-18.048002,16.405799,-7.803801,5.113486,0
1,3,2,-15.638402,16.405799,-7.803801,3.266094,0
2,3,2,-13.228801,16.405799,-7.803801,1.643825,0
3,3,2,-10.819201,16.405799,-7.803801,0.234239,0
4,3,2,-8.409600,16.405799,-7.803801,2.677364,0
5,3,2,-6.000000,16.405799,-7.803801,3.895304,0
6,3,2,-3.590400,16.405799,-7.803801,4.042939,0
7,3,2,-1.180799,16.405799,-7.803801,3.083211,0
8,3,2,1.228801,16.405799,-7.803801,0.832025,0
9,3,2,3.638402,16.405799,-7.803801,1.896693,0
10,3,2,6.048002,16.405799,-7.803801,3.567549,0
0,4,2,-18.048002,18.815400,-7.803801,4.452638,0
1,4,2,-15.638402,18.815400,-7.803801,2.526177,0
2,4,2,-13.228801,18.815400,-7.803801,0.887951,0
3,4,2,-10.819201,18.815400,-7.803801,2.658692,0
4,4,2,-8.409600,18.815400,-7.803801,4.831826,0
5,4,2,-6.000000,18.815400,-7.803801,5.758677,0
6,4,2,-3.590400,18.815400,-7.803801,5.873930,0
7,4,2,-1.180799,18.815400,-7.803801,5.155859,0
8,4,2,1.228801,18.815400,-7.803801,3.093541,0
9,4,2,3.638402,18.815400,-7.803801,1.134910,0
10,4,2,6.048002,18.815400,-7.803801,2.840629,0
0,5,2,-18.048002,21.225000,-7.803801,4.145730,0
1,5,2,-15.638402,21.225000,-7.803801,2.182872,0
2,5,2,-13.228801,21.225000,-7.803801,0.446821,0
3,5,2,-10.819201,21.225000,-7.803801,3.721928,0
4,5,2,-8.409600,21.225000,-7.803801,5.633759,0
5,5,2,-6.000000,21.225000,-7.803801,6.492062,0
6,5,2,-3.590400,21.225000,-7.803801,6.593607,0
7,5,2,-1.180799,21.225000,-7.803801,5.926236,0
8,5,2,1.228801,21.225000,-7.803801,4.140245,0
9,5,2,3.638402,21.225000,-7.803801,0.863771,0
10,5,2,6.048002,21.225000,-7.803801,2.502667,0
0,6,2,-18.048002,23.634600,-7.803801,4.212845,0
1,6,2,-15.638402,23.634600,-7.803801,2.257842,0
2,6,2,-13.228801,23.634600,-7.803801,0.580969,0
3,6,2,-10.819201,23.634600,-7.803801,3.506696,0
4,6,2,-8.409600,23.634600,-7.803801,5.465402,0
5,6,2,-6.000000,23.634600,-7.803801,6.336772,0
6,6,2,-3.590400,23.634600,-7.803801,6.441321,0
7,6,2,-1.180799,23.634600,-7.803801,5.764795,0
8,6,2,1.228801,23.634600,-7.803801,3.929027,0
9,6,2,3.638402,23.634600,-7.803801,0.907466,0
10,6,2,6.048002,23.634600,-7.803801,2.576548,0
0,7,2,-18.048002,26.044201,-7.803801,4.649498,0
1,7,2,-15.638402,26.044201,-7.803801,2.746707,0
2,7,2,-13.228801,26.044201,-7.803801,1.105533,0
3,7,2,-10.819201,26.044201,-7.803801,1.830266,0
4,7,2,-8.409600,26.044201,-7.803801,4.265993,0
5,7,2,-6.000000,26.044201,-7.803801,5.251931,0
6,7,2,-3.590400,26.044201,-7.803801,5.376097,0
7,7,2,-1.180799,26.044201,-7.803801,4.610668,0
8,7,2,1.228801,26.044201,-7.803801,2.290386,0
9,7,2,3.638402,26.044201,-7.803801,1.352441,0
10,7,2,6.048002,26.044201,-7.803801,3.057397,0
0,8,2,-18.048002,28.453801,-7.803801,5.427799,0
1,8,2,-15.638402,28.453801,-7.803801,3.617036,0
2,8,2,-13.228801,28.453801,-7.803801,2.022512,0
3,8,2,-10.819201,28.453801,-7.803801,0.813354,0
4,8,2,-8.409600,28.453801,-7.803801,1.189655,0
5,8,2,-6.000000,28.453801,-7.803801,2.768941,0
6,8,2,-3.590400,28.453801,-7.803801,2.940610,0
7,8,2,-1.180799,28.453801,-7.803801,1.750893,0
8,8,2,1.228801,28.453801,-7.803801,0.992941,0
9,8,2,3.638402,28.453801,-7.803801,2.273237,0
10,8,2,6.048002,28.453801,-7.803801,3.912215,0
0,9,2,-18.048002,30.863402,-7.803801,6.503668,0
1,9,2,-15.638402,30.863402,-7.803801,4.810266,0
2,9,2,-13.228801,30.863402,-7.803801,3.327704,0
3,9,2,-10.819201,30.863402,-7.803801,2.133777,0
4,9,2,-8.409600,30.863402,-7.803801,1.323284,0
5,9,2,-6.000000,30.863402,-7.803801,0.957133,0
6,9,2,-3.590400,30.863402,-7.803801,0.991603,0
7,9,2,-1.180799,30.863402,-7.803801,1.430408,0
8,9,2,1.228801,30.863402,-7.803801,2.312365,0
9,9,2,3.638402,30.863402,-7.803801,3.561778,0
10,9,2,6.048002,30.863402,-7.803801,5.085060,0
0,10,2,-18.048002,33.273002,-7.803801,7.826965,0
1,10,2,-15.638402,33.273002,-7.803801,6.260110,0
2,10,2,-13.228801,33.273002,-7.803801,4.905384,0
3,10,2,-10.819201,33.273002,-7.803801,3.820859,0
4,10,2,-8.409600,33.273002,-7.803801,3.067519,0
5,10,2,-6.000000,33.273002,-7.803801,2.695457,0
6,10,2,-3.590400,33.273002,-7.803801,2.730343,0
7,10,2,-1.180799,33.273002,-7.803801,3.169802,0
8,10,2,1.228801,33.273002,-7.803801,3.983481,0
9,10,2,3.638402,33.273002,-7.803801,5.118298,0
10,10,2,6.048002,33.273002,-7.803801,6.512960,0
0,0,3,-18.048002,9.176998,-5.394201,7.972479,0
1,0,3,-15.638402,9.176998,-5.394201,6.418423,0
2,0,3,-13.228801,9.176998,-5.394201,5.076540,0
3,0,3,-10.819201,9.176998,-5.394201,4.003538,0
4,0,3,-8.409600,9.176998,-5.394201,3.258632,0
5,0,3,-6.000000,9.176998,-5.394201,2.890661,0
6,0,3,-3.590400,9.176998,-5.394201,2.925173,0
7,0,3,-1.180799,9.176998,-5.394201,3.359770,0
8,0,3,1.228801,9.176998,-5.394201,4.164371,0
9,0,3,3.638402,9.176998,-5.394201,5.287318,0
10,0,3,6.048002,9.176998,-5.394201,6.669067,0
0,1,3,-18.048002,11.586598,-5.394201,6.449207,0
1,1,3,-15.638402,11.586598,-5.394201,4.750182,0
2,1,3,-13.228801,11.586598,-5.394201,3.261967,0
3,1,3,-10.819201,11.586598,-5.394201,2.063865,0
4,1,3,-8.409600,11.586598,-5.394201,1.254204,0
5,1,3,-6.000000,11.586598,-5.394201,0.894199,0
6,1,3,-3.590400,11.586598,-5.394201,0.933084,0
7,1,3,-1.180799,11.586598,-5.394201,1.361170,0
8,1,3,1.228801,11.586598,-5.394201,2.242933,0
9,1,3,3.638402,11.586598,-5.394201,3.496961,0
10,1,3,6.048002,11.586598,-5.394201,5.025955,0
0,2,3,-18.048002,13.996199,-5.394201,5.142985,0
1,2,3,-15.638402,13.996199,-5.394201,3.299068,0
2,2,3,-13.228801,13.996199,-5.394201,1.679090,0
3,2,3,-10.819201,13.996199,-5.394201,0.254253,0
4,2,3,-8.409600,13.996199,-5.394201,2.619175,0
5,2,3,-6.000000,13.996199,-5.394201,3.774336,0
6,2,3,-3.590400,13.996199,-5.394201,4.036821,0
7,2,3,-1.180799,13.996199,-5.394201,3.241582,0
8,2,3,1.228801,13.996199,-5.394201,0.842510,0
9,2,3,3.638402,13.996199,-5.394201,1.931908,0
10,2,3,6.048002,13.996199,-5.394201,3.599932,0
0,3,3,-18.048002,16.405799,-5.394201,4.109732,0
1,3,3,-15.638402,16.405799,-5.394201,2.142698,0
2,3,3,-13.228801,16.405799,-5.394201,0.313594,0
3,3,3,-10.819201,16.405799,-5.394201,3.987811,0
4,3,3,-8.409600,16.405799,-5.394201,5.760818,0
5,3,3,-6.000000,16.405799,-5.394201,6.557730,0
6,3,3,-3.590400,16.405799,-5.394201,6.737339,0
7,3,3,-1.180799,16.405799,-5.394201,6.215730,0
8,3,3,1.228801,16.405799,-5.394201,4.554356,0
9,3,3,3.638402,16.405799,-5.394201,0.855319,0
10,3,3,6.048002,16.405799,-5.394201,2.463053,0
0,4,3,-18.048002,18.815400,-5.394201,3.406575,0
1,4,3,-15.638402,18.815400,-5.394201,1.370773,0
2,4,3,-13.228801,18.815400,-5.394201,2.821179,0
3,4,3,-10.819201,18.815400,-5.394201,5.830034,0
4,4,3,-8.409600,18.815400,-5.394201,7.332740,0
5,4,3,-6.000000,18.815400,-5.394201,8.052090,0
6,4,3,-3.590400,18.815400,-5.394201,8.180334,0
7,4,3,-1.180799,18.815400,-5.394201,7.682156,0
8,4,3,1.228801,18.815400,-5.394201,6.326938,0
9,4,3,3.638402,18.815400,-5.394201,3.174135,0
10,4,3,6.048002,18.815400,-5.394201,1.694816,0
0,5,3,-18.048002,21.225000,-5.394201,3.079403,0
1,5,3,-15.638402,21.225000,-5.394201,1.030775,0
2,5,3,-13.228801,21.225000,-5.394201,3.867670,0
3,5,3,-10.819201,21.225000,-5.394201,6.553669,0
4,5,3,-8.409600,21.225000,-5.394201,7.991352,0
5,5,3,-6.000000,21.225000,-5.394201,8.694874,0
6,5,3,-3.590400,21.225000,-5.394201,8.796707,0
7,5,3,-1.180799,21.225000,-5.394201,8.287111,0
8,5,3,1.228801,21.225000,-5.394201,7.006045,0
9,5,3,3.638402,21.225000,-5.394201,4.300901,0
10,5,3,6.048002,21.225000,-5.394201,1.348294,0
0,6,3,-18.048002,23.634600,-5.394201,3.150970,0
1,6,3,-15.638402,23.634600,-5.394201,1.103866,0
2,6,3,-13.228801,23.634600,-5.394201,3.655413,0
3,6,3,-10.819201,23.634600,-5.394201,6.400550,0
4,6,3,-8.409600,23.634600,-5.394201,7.850130,0
5,6,3,-6.000000,23.634600,-5.394201,8.556065,0
6,6,3,-3.590400,23.634600,-5.394201,8.663914,0
7,6,3,-1.180799,23.634600,-5.394201,8.157995,0
8,6,3,1.228801,23.634600,-5.394201,6.863163,0
9,6,3,3.638402,23.634600,-5.394201,4.078334,0
10,6,3,6.048002,23.634600,-5.394201,1.422772,0
0,7,3,-18.048002,26.044201,-5.394201,3.616261,0
1,7,3,-15.638402,26.044201,-5.394201,1.597041,0
2,7,3,-13.228801,26.044201,-5.394201,2.021903,0
3,7,3,-10.819201,26.044201,-5.394201,5.329387,0
4,7,3,-8.409600,26.044201,-5.394201,6.890091,0
5,7,3,-6.000000,26.044201,-5.394201,7.625921,0
6,7,3,-3.590400,26.044201,-5.394201,7.769977,0
7,7,3,-1.180799,26.044201,-5.394201,7.272025,0
8,7,3,1.228801,26.044201,-5.394201,5.851491,0
9,7,3,3.638402,26.044201,-5.394201,2.178125,0
10,7,3,6.048002,26.044201,-5.394201,1.922085,0
0,8,3,-18.048002,28.453801,-5.394201,4.443329,0
1,8,3,-15.638402,28.453801,-5.394201,2.515750,0
2,8,3,-13.228801,28.453801,-5.394201,0.878582,0
3,8,3,-10.819201,28.453801,-5.394201,2.876206,0
4,8,3,-8.409600,28.453801,-5.394201,4.900373,0
5,8,3,-6.000000,28.453801,-5.394201,5.763285,0
6,8,3,-3.590400,28.453801,-5.394201,5.966855,0
7,8,3,-1.180799,28.453801,-5.394201,5.403577,0
8,8,3,1.228801,28.453801,-5.394201,3.450212,0
9,8,3,3.638402,28.453801,-5.394201,1.124791,0
10,8,3,6.048002,28.453801,-5.394201,2.830375,0
0,9,3,-18.048002,30.863402,-5.394201,5.580671,0
1,9,3,-15.638402,30.863402,-5.394201,3.787372,0
2,9,3,-13.228801,30.863402,-5.394201,2.208051,0
3,9,3,-10.819201,30.863402,-5.394201,0.987321,0
4,9,3,-8.409600,30.863402,-5.394201,0.430796,0
5,9,3,-6.000000,30.863402,-5.394201,2.081175,0
6,9,3,-3.590400,30.863402,-5.394201,2.419408,0
